BIT	FILTER	WEIGHT	NEURON
        16	        12	       126	        41
         5	         4	       572	       126
        26	        43	       701	       154
        14	        13	       521	       175
        14	        30	       110	        30
        14	         9	        36	       109
        24	        59	       618	       184
        10	        48	       667	        58
        28	        25	       319	        98
        30	        27	       256	       104
         7	        61	       411	       157
        10	         4	       700	        40
         3	        10	       187	        65
        20	        63	       634	       156
        26	         5	       688	       177
        21	        43	       703	       121
         5	        63	       115	        15
        26	        19	       187	       145
        16	        54	        22	       131
        27	        51	       627	       178
        29	        14	        79	        33
        14	         9	       254	         0
        14	        46	        77	       107
        26	        13	        53	       107
        12	         8	       290	        10
        28	        29	       488	        16
        20	        30	       775	       183
        17	        27	       429	        87
         9	        60	       640	        67
         5	        30	        64	        48
        13	        13	        55	        79
        26	        12	       454	       162
        21	         8	       461	        65
         5	        21	       253	        33
        19	        37	       616	       137
         0	        53	       724	       193
        17	        52	       417	       195
        19	        33	        75	        56
        14	        34	       551	       185
        15	        13	       143	       152
        21	        60	       597	        42
        17	        18	       628	       133
        23	        60	       618	       159
        18	        30	       225	       131
        18	         2	       282	         9
         3	        37	       229	        33
         8	        12	       314	       179
        25	        10	       155	       102
         6	        48	       713	        40
         2	        29	        93	        22
        25	        39	       657	       183
         5	        18	       335	        95
        20	         9	       541	       171
        15	         2	       265	        63
        15	        35	       302	        84
        13	        41	       631	        92
        25	         0	       332	       135
        29	        41	       757	       194
        16	         7	       610	         5
        25	        49	       460	       166
        26	        41	        37	       125
        12	        46	       416	        47
        18	        14	       771	       123
        23	        58	       531	        52
        26	        63	        12	       179
         8	         1	       110	        68
         8	        16	       173	        50
         1	        58	       720	       119
         3	        53	       581	       119
         4	         5	        42	       186
        20	        46	       469	       143
         8	        41	       348	       155
         8	         8	       154	       193
         9	         8	       137	       102
        24	        23	       212	       157
        17	         4	       789	        56
        25	        58	       452	        33
        31	        14	       595	         7
        28	         9	       799	        57
        18	        59	       552	        50
         3	         2	       747	        40
        11	        53	       766	       163
        12	        18	       765	       169
        22	        18	       337	        80
        12	        21	       653	       131
         4	         1	       799	        96
        10	        62	       581	        84
        25	        13	       374	        36
        16	         2	       104	        95
        23	        39	       478	       151
        25	        59	       160	       172
        13	        49	       416	       113
         7	        13	        37	       163
        14	         4	       523	        76
         2	        17	       180	        67
        30	        43	       151	        98
        13	        63	       553	       136
         6	         8	       551	        80
         3	         7	       496	       113
        24	        16	       266	        27
        29	        15	       426	       192
        19	        54	       452	       177
         7	        25	       272	        49
         4	         7	       340	       173
         7	        29	       213	         5
         5	        60	        45	       101
         3	        61	       442	        87
        13	        36	       795	       139
        20	        37	       503	        67
        27	        27	       541	        70
        20	        45	       488	       180
        21	        28	       105	        52
        25	        62	       489	       159
        26	        55	       168	       149
        20	         2	       761	       186
         6	        52	       429	        82
        25	         4	       546	        17
        31	        63	       343	       168
        12	        31	       268	        17
        27	        54	       669	        37
        20	         7	        52	       115
        30	        28	       652	         6
        30	        37	       564	       120
        25	        33	        95	        71
         5	         1	       616	        73
         0	        63	       153	       168
        31	        37	       430	       158
        27	        43	       559	       148
        18	        35	       479	       148
        31	        43	       739	       161
        17	        23	       226	       114
        25	         1	       733	       118
         2	         5	        99	       122
         5	        60	       430	       132
         2	        60	       478	         1
         8	        14	       717	       110
        17	        12	       587	       109
        24	        46	       654	       113
         5	        48	       307	       186
        17	        17	       317	        63
        22	         0	       213	        43
        29	        36	       671	        75
         0	        62	       572	       180
        12	        42	       547	        17
        22	        46	        78	        50
        28	        61	        55	        89
        13	        43	       288	       175
        28	        61	       786	         6
        29	         8	       462	       174
        12	        45	       249	       108
        11	        54	       629	       179
         0	        56	        21	       186
         6	        35	       581	        22
         0	        60	       483	        54
         7	         3	       269	       155
         0	        63	       214	        62
         7	        36	       408	       155
        17	        18	       768	       101
         8	        21	       628	        56
        13	        41	       254	       147
        13	         3	       725	        57
         0	        24	       187	       187
        28	        40	       491	       132
         8	         1	       122	       107
         5	        19	       739	        62
         5	        35	       147	       181
        24	        40	       725	        97
        17	        19	       632	        18
        23	        45	       172	       159
         5	         7	       222	         9
        16	         9	       766	       180
        10	        24	       263	       123
        11	        42	         6	       156
        13	        25	       541	        41
         1	        18	       362	        11
         6	         2	       497	       137
        15	        61	       660	         5
         5	        18	       278	       165
        28	        20	       685	        42
        13	        20	       278	        36
        31	        60	       425	       100
        21	        38	       146	        31
        25	        28	       138	        87
        31	        27	       604	       126
        25	        48	       291	        74
         2	        26	       691	        54
        14	        32	       517	       159
        20	        27	       212	       107
        23	        29	       256	        28
         3	        18	       547	       148
        14	        45	       283	         5
         9	        55	        92	       150
         7	        31	       128	        50
        25	        19	       200	        76
        19	        13	       323	       167
         8	        55	       763	        75
        20	        27	       524	        60
        13	        47	       532	        23
        29	        48	       521	        86
         7	         5	       328	        95
         4	         8	       569	         2
        27	         1	       326	       158
        15	         9	        53	       107
         1	        16	       407	        81
        11	        35	       301	        40
        18	         2	       564	        15
        18	        29	       757	       169
         2	        29	       424	        42
         5	        33	       452	       148
         3	        42	        46	        62
        20	         4	       265	       177
        20	        32	       138	         4
         3	        56	       728	        42
        26	        12	       229	       168
         9	        27	       389	        59
        24	        46	       530	       158
        15	        54	       190	       186
         1	        45	        36	        93
        17	        14	       170	       165
        14	        20	       517	       122
        12	        30	       744	        62
        10	        13	       306	        20
         8	        56	       703	       133
         6	        49	       159	       109
         8	        29	         8	        93
        10	        12	       382	        35
        26	        40	       737	        73
        28	         6	       763	        57
         4	         3	       143	        55
        16	         2	       419	       173
        26	         2	       186	       124
        20	        25	       245	       116
        22	        61	       709	       137
        10	         3	       220	        92
        11	        61	       685	        67
         4	        40	       624	        40
        11	         0	       567	        76
         2	        26	       437	        92
        29	        15	       636	       113
         8	        49	       397	       186
        15	        18	       415	         1
        21	        28	       797	        48
        25	        11	       103	        85
        19	        24	       678	       115
        24	        61	       731	         6
        24	        16	       790	       125
        31	        50	       422	       139
         3	        51	       741	        18
         5	         5	       491	       146
         1	        41	       122	        50
        20	         1	       248	         7
        25	        30	       198	         5
        27	        33	        75	       151
        17	        33	       264	        24
        19	        46	       215	       139
         1	        61	         9	        54
         2	        21	        64	        79
        30	        26	       701	       114
        28	        53	       377	        73
        19	        32	       231	        47
         1	        50	       770	       111
        20	        11	       259	       163
        25	        27	       734	        51
        24	        40	       417	       114
        29	         2	       413	       183
        28	        26	       717	        72
        16	         6	       462	       195
         6	        21	       306	        20
         7	        53	       699	        11
         0	        30	         3	       181
        25	        33	       372	       173
         9	        22	       619	         2
        24	        40	        33	        76
         3	        46	       237	        35
        21	        27	       118	        15
        16	         9	       611	        47
        30	        30	       275	       150
        29	        22	       311	        58
        23	        12	       520	       185
         2	        51	       391	       190
        28	         9	       654	       143
        23	        27	       498	        12
        22	        40	       104	         6
        17	        11	       734	       115
        10	        49	       173	       115
         7	        37	       349	        74
        17	        37	       511	       119
        25	         7	       109	       157
        16	        59	       116	        83
        23	         6	       244	       129
        14	        60	       244	        88
         7	        18	       335	        21
         3	        61	        88	        38
         2	        54	       584	       131
        27	         8	       678	       112
        15	        51	       713	        47
        14	        61	       198	        53
         3	        26	       723	       102
        22	         7	       370	       142
        25	        33	       399	        92
        30	        40	       262	       116
        30	        46	       243	       101
        22	        57	        14	       189
        12	        23	       580	        75
        21	        11	       384	        28
         5	        51	       394	        92
        26	        28	       474	       135
        30	        41	       207	         4
        17	        21	       413	       127
         4	        48	       489	        78
        10	        23	       256	       110
        14	        36	       561	       103
        15	        18	       604	       113
         5	        38	       561	        32
         3	        43	       307	        73
        20	         3	       733	         6
        24	        58	       629	       172
        11	        62	       215	        13
        21	        23	       779	       184
        27	        29	       455	       151
        15	        35	       224	       176
        10	        17	        84	        41
        28	         8	       622	       172
        11	        43	        22	       103
         6	        12	         0	       105
        10	        23	       646	       172
        14	        17	       356	        41
        14	        43	       628	       189
        15	        20	       114	       173
         5	         6	       518	       173
        14	        52	       754	       105
        31	        40	       349	       145
        20	        61	       662	       115
        20	        60	       351	        94
        14	         3	       651	        68
        14	         0	       378	        57
        20	        44	        86	       138
        18	        60	       539	       141
        16	        13	       538	       136
        22	        23	        53	       142
        20	        44	       361	        96
         8	         8	       362	        26
        11	        22	        83	        94
        22	        13	       599	       150
        25	        14	       356	        15
        10	         0	       684	       159
        13	         7	       395	       171
        30	        32	       526	        51
        12	        23	       315	       133
         0	         6	       619	        11
        28	        30	       229	        30
        11	        29	       572	        56
        11	         1	       272	        69
         1	        60	       112	        58
         3	        59	       690	        90
        28	         0	       661	       180
        23	        48	       125	       115
        22	         9	       643	       110
         7	         8	       292	         3
         5	        33	       791	       124
         2	         7	       390	       179
         4	        54	       241	        71
        18	         3	         9	       106
         3	        62	       150	       143
        15	        20	       370	        37
        29	        53	       408	       184
        30	        60	       791	        15
        29	        15	        20	        67
        22	        58	       130	       146
        16	        20	       130	       154
        23	        11	       752	       131
        10	        39	       214	       137
        27	         8	       318	        16
        30	        22	        28	       116
        19	        52	       735	        84
         3	        19	       304	       117
        13	        18	       628	       118
         6	        22	       160	       110
         1	        17	       121	       167
        24	        15	       228	        67
        23	         3	       555	       109
        25	        39	       113	       124
        27	        49	       701	        18
         4	        13	        24	        98
        31	        44	       656	         6
         2	        48	       516	        83
         1	        29	       783	       181
        12	        51	       652	        63
        22	        55	       121	        48
        31	        42	       796	       194
        27	        25	       569	       140
         6	        17	        18	       150
        29	         2	       748	       167
        18	        16	       130	        88
        13	        49	       333	        81
         5	        26	       124	        63
        17	        53	       427	        24
         0	        40	       395	        75
         1	         4	       315	        12
        21	        13	       174	         2
        15	        58	       721	       170
        10	        51	        86	        39
         5	        35	        16	       102
        29	        44	       229	       107
         2	        17	       447	       142
        25	        42	       445	       134
        14	        25	       482	        35
         6	        16	       277	        70
        10	        38	       312	        36
        26	        46	       555	        63
        17	        27	       713	        43
         8	        46	       382	        82
        31	        29	       332	        76
         8	        41	       691	        38
         2	        21	       154	        37
         6	        15	       447	       156
        22	        23	       677	        92
         5	        16	       111	       146
        12	        24	       453	       116
         6	         3	       382	        58
         1	        10	       510	       161
        19	        49	       479	        14
         7	        25	       479	        37
         9	        62	       125	        91
        21	        34	       495	       170
        19	        62	       720	        71
        22	        22	       275	       108
        25	        49	       130	        70
        27	        33	       227	       142
        18	         3	       612	        61
        28	         3	       742	        41
         1	        36	       164	        82
         6	        19	       400	        45
        17	        33	       312	        23
        23	        43	       708	       132
        28	        38	       395	        55
         7	        46	       198	       110
        17	        42	       307	        42
        14	        58	        83	       139
        30	        56	       678	       104
        11	        54	       606	         5
        23	        54	       580	         2
         2	         8	       415	       166
        15	        42	       630	       118
        24	        28	       240	       154
         6	         4	       792	         4
        30	        43	       516	       140
         3	        42	       416	        87
         0	        30	       268	       180
        21	        16	       134	        51
        25	        37	       757	        84
        15	        11	       478	        32
         7	        15	       370	       194
        19	        10	         2	       105
        21	         6	       397	       109
        16	        45	         8	       149
        12	        20	       329	       169
         4	        15	       632	       121
        21	        13	       485	       132
        25	         4	       780	       144
        19	        30	       558	        78
         8	        17	       535	       106
        23	        36	       727	        36
        17	        63	       249	        33
        19	        34	       414	       191
        17	        22	       309	       154
         4	        58	       491	       101
        30	        23	       317	       173
        22	        44	       311	        50
        29	        46	       700	       144
        18	        51	       476	        56
        18	        53	       609	       129
        23	         0	       125	       117
        22	        50	       463	        46
        12	        26	       279	        95
        18	        53	       348	        24
         1	        52	       550	        90
         2	         3	       786	       137
        22	        15	       217	       141
         4	        26	       782	        24
        26	        43	       101	       153
        29	        20	       139	       110
        15	        35	       725	       193
        24	        49	       361	       101
         5	        15	       407	        28
        18	         9	       637	        33
        24	        22	        50	        29
        16	        32	       249	        35
        12	        30	       668	       189
        18	        39	       467	       181
        10	        40	       546	        54
        26	        11	       539	        51
        27	        50	       551	        73
        28	         4	       790	       108
        26	        40	       401	        19
         9	        42	       470	       125
         8	        18	       414	        51
        25	        50	       316	       140
        26	        31	       774	        24
        10	         2	       500	       161
        20	        59	       243	       116
         0	        41	       709	       170
        18	        54	       517	       103
         1	        59	       432	        61
        13	        46	       292	        43
         0	         1	       203	         7
         0	        49	       303	        34
        19	        35	       304	       136
        31	         3	       568	       115
        12	        29	       185	       194
        20	        31	        25	       125
        26	         9	       574	       132
        24	         3	       399	       152
         4	        58	       147	       112
        11	         3	       110	       131
         6	        62	       391	       101
         1	        31	       612	       106
        29	        30	       268	        25
        29	         6	       486	        35
        15	        36	       319	       119
         7	        46	         0	       123
         8	        51	       367	       192
        22	        62	       691	       113
        28	        58	       674	        14
        25	         7	       364	       186
         5	        24	       167	        98
        30	        45	       537	        26
        18	        57	       789	        25
         7	        21	       709	       188
         9	        52	       516	       183
        18	        23	       604	        71
        17	        63	       365	       134
         6	        25	       577	        63
        17	        40	        45	       116
        22	         6	       318	        88
        31	        51	        65	       127
         9	         6	       727	        70
        27	        27	       785	       189
        18	        46	       764	       183
        13	         9	       237	        83
         2	        46	        94	        84
        23	        43	       708	       125
        17	        34	       533	        41
        21	        54	       440	       134
        29	        15	        80	       100
        10	         2	       293	       176
        16	         2	        63	        85
        11	        12	        16	         6
        27	        46	       770	       154
        25	        38	       447	       174
         8	        20	       443	       105
        10	        19	       284	        11
         2	        44	       543	       144
        14	        37	       584	        58
         7	         7	       667	        14
        20	        11	       192	       143
        25	        34	       353	       110
         8	        32	       221	       180
        20	        24	       302	       186
        12	        42	       326	        46
        22	         5	       475	        85
        10	         3	       227	        89
        11	        31	         4	        19
        10	        36	       334	        44
         7	        15	       470	        87
        15	        19	       512	        55
        12	        14	       385	       120
        24	        39	        70	       130
        13	         1	       499	        39
         5	        55	       457	       120
        22	        45	       335	       152
        17	        29	       132	        88
        12	        27	       776	        95
        14	         8	       318	       114
        22	        31	       626	       158
         7	        25	       124	        52
        26	        48	       299	        79
         7	        52	       527	        69
         1	        30	       189	       155
        27	        34	       299	        67
        29	        51	       642	        75
        27	         0	       294	       181
         0	        56	       639	        95
        17	        60	       443	       188
        12	        38	       523	       163
        27	        59	       176	       104
        25	        13	       303	        25
        15	        59	       348	       156
        14	        63	       600	       106
        31	        30	        27	       179
        22	        27	       518	       188
        23	        33	       756	        31
         8	        31	       118	       115
        26	        38	       287	       148
        19	        15	         9	        27
        10	         5	       719	        28
         4	        39	       482	       192
         5	        30	       291	        68
        25	        42	       772	       100
        11	        24	       787	        47
        23	        41	       502	       162
        15	        22	       102	        14
         5	        15	       613	        11
        20	        53	       167	       177
        28	        10	       189	        14
         8	         0	       606	        29
        10	         2	       305	       142
        26	         4	       265	       109
        13	         0	       419	        68
        22	        41	       414	       155
        24	        36	       138	       177
        25	        17	       134	         5
        27	         3	       439	       143
         3	        21	       612	       102
        23	        21	       580	        13
        25	        45	       611	        30
        13	        38	        66	       167
        16	         1	       382	        12
         5	        40	        53	        42
        26	        59	       691	        45
        30	        11	        57	        90
         0	        61	       528	       148
        19	        20	       201	       108
         1	        44	       371	       107
        19	        53	       754	        19
        22	        49	       651	       155
        25	         1	       153	       119
        28	        13	       425	        23
        24	         2	       381	       172
        31	        45	       272	       110
         1	        26	       703	       170
         6	        50	        49	       113
         7	        36	       444	       118
        21	        40	       217	        30
         9	        19	       642	       165
         0	        43	       704	       176
        13	        29	       560	         8
        10	        33	       159	       167
        27	        62	       590	        61
        16	        63	       539	        23
         3	        23	       341	       156
        31	        47	       743	        68
         2	        41	       782	        10
        20	        46	       154	       185
        12	        10	       525	        62
        11	        44	       738	        62
        10	        48	       264	       186
        15	         3	        50	        83
        26	        39	       107	       138
        22	        50	       610	        60
        27	        16	       442	        39
        31	        20	       560	       123
        31	        30	       481	       182
        10	         3	       529	       113
        19	        25	       719	       139
        28	         1	       342	        30
         9	         1	       464	        99
        20	        19	       760	        35
         3	        18	       639	        62
         7	        47	       461	       142
        13	        15	       432	       116
        18	         1	       141	        90
        26	        28	        41	       166
        30	        31	        45	        87
         0	        61	       166	        96
        16	        30	       132	        72
        17	        35	       662	       124
        18	         4	       702	        68
        19	        46	       376	       145
        16	         5	       299	       134
         1	        20	       513	       167
        19	        46	       710	        80
        11	        13	       456	       120
        11	        12	       272	        76
        15	         6	       276	       106
        10	        18	       450	       157
         1	        26	       611	        57
        31	        46	        27	       140
         3	        60	       192	       170
        10	         6	       202	       130
        19	        51	       338	       155
        31	         2	       635	        95
         8	        16	       401	        83
         2	        19	       432	        79
        13	        51	       532	        84
         2	        16	       460	        33
        12	        12	       795	        43
        19	        38	       781	        70
        25	        31	       389	        24
         1	         1	       423	        61
        17	        56	       380	       107
        11	        45	       247	       116
         0	        43	       292	        46
        27	        17	       423	       140
        29	         3	       703	       176
         9	        12	       663	        26
        11	        60	       538	        28
        29	        34	       213	        50
        26	        50	       354	        70
        31	        25	       382	       171
         4	        35	       130	        76
        20	        41	       328	       133
        12	         7	       258	       161
        19	        25	       375	       158
        21	        50	       266	        39
        20	        63	       481	       130
        17	        35	       244	       188
        28	        51	       656	        17
        22	        18	       257	       146
        27	         9	       379	       104
        16	        29	       317	        23
        22	        21	       769	       148
         7	        43	       351	       135
        10	         0	       617	       192
         4	        30	       684	       132
        17	        60	       641	        99
        14	        34	       689	        14
        11	        12	       594	        59
        10	        47	       350	        36
         4	        63	       460	       171
        10	        11	       518	        53
        12	        48	        17	       100
        14	        29	       784	        79
        26	        50	       742	        24
        20	        55	       498	       128
         3	        36	       379	       185
        20	        26	        78	       152
        25	        58	       644	       184
         6	        10	       377	        70
        26	        10	       226	       124
         7	        18	       391	        29
         4	        45	       170	       165
         4	        28	       441	        72
         1	        20	       629	       177
        14	        35	       493	        64
        30	        17	       108	       112
        28	        37	       310	        66
        15	        56	       351	       130
        10	         6	       280	        55
        20	         2	       264	       140
        30	         1	       320	        75
        21	        22	       308	         0
        25	        34	       236	       175
        19	        24	       667	        99
        29	        49	       550	        60
         9	         5	       450	        92
        11	        26	       611	        87
        28	        43	       184	       195
        12	        24	       538	       149
        14	        15	       645	       180
        17	        17	       127	       136
         9	        59	       148	       142
        12	        26	       274	       102
        31	        21	       266	       114
        15	        13	       234	       152
        24	         2	       647	       168
        26	        33	       101	       101
        16	        43	        49	       149
        28	        48	       294	       114
        11	        58	       620	       168
        20	        31	       302	       179
        20	        56	       797	       155
         5	         7	        79	        93
         9	        54	       641	       116
        24	         6	        13	        12
        17	        30	       650	       134
        14	        48	       788	       190
        10	        32	       178	       194
        31	         0	       529	        91
        24	        14	       567	       173
        22	         6	       154	        15
        29	        27	        99	        61
         1	        48	       701	       167
        14	         7	       513	       149
        23	        21	       695	        61
        21	        41	       223	        97
         9	        16	       648	        41
        31	        63	        62	       189
         6	        24	       564	       107
        19	        24	        88	        84
         8	        53	       295	        91
        29	        40	       180	        68
        29	        11	       790	        83
        20	        53	       392	        73
         6	        16	       318	        41
        16	        28	       250	       138
        20	        46	       665	        91
         6	        49	       123	       123
         6	        35	       614	       147
        11	        26	       344	        53
         5	        46	       572	        85
         3	        36	       278	        65
        20	        52	        78	        28
        16	        40	       186	        76
        23	        51	        43	       121
         4	        38	       332	        15
         9	        18	       302	        69
        12	         6	       222	        25
        20	        26	       234	        80
        30	        32	       161	       190
        20	        16	       631	        48
        24	        17	       168	       135
         5	        19	        45	        49
        26	        25	       692	        71
        12	        35	       696	       148
         9	        54	       234	       106
        16	        20	       566	        26
        21	        55	       193	        89
         7	        56	       590	        36
         9	        22	       463	        90
        10	        60	       408	         8
        22	        44	       775	       166
        15	         0	       186	        53
        22	         4	       567	        43
        25	        13	        85	       126
         4	        22	       279	        60
        14	         5	       332	        16
        28	        27	       774	       186
        24	        30	       554	        10
        11	        17	       464	       138
        17	        10	       371	       124
        15	        42	       655	       116
        23	        36	       502	        20
        27	        13	       776	        65
        19	        20	       129	         7
        15	         8	        85	        23
         6	        31	       213	       141
        16	        37	       108	       170
        16	        31	       170	       151
        10	        25	       679	        77
        29	        29	       285	        84
        10	         5	       770	       117
        25	        35	       204	       117
        11	        33	       496	       154
         0	         6	       579	        97
        11	        15	       627	        99
        15	        61	       378	       189
        22	         1	        90	        39
        30	        56	       492	       181
        29	        14	       326	        19
        17	        51	       544	       117
        20	        48	       527	       177
        22	        50	       710	        46
         2	        57	        61	         9
        22	        24	       714	        52
        25	        36	       767	       172
        28	        43	       545	        14
        25	         7	       593	       123
        26	        17	       712	       155
         1	        55	        36	        64
         9	        42	       474	        83
         3	        23	       668	       133
        15	         6	       293	       145
        11	         4	       417	       183
        16	         2	       257	       109
         9	        18	       532	       148
         3	        28	       723	       165
        19	        55	       157	        77
         1	        55	       136	        32
        14	         5	       669	       130
        11	         2	       679	        30
         6	         8	        62	       158
        10	        31	       544	        51
        18	        52	       695	        13
        17	        42	       794	       124
         1	        23	       705	        22
        14	        10	       678	       181
        15	        35	       411	       110
         5	        34	       273	        60
        10	        15	       738	       104
        14	         2	       455	        76
        23	        31	       758	       172
         9	        48	       556	        75
         8	        14	       685	       154
        24	        52	       403	        15
        23	        14	       193	        21
        16	        18	       521	       162
         1	        11	       750	        56
        14	        22	       752	        29
        21	        38	       749	       194
        23	        57	       681	       139
         7	        23	       213	        47
        11	        41	       326	       122
        23	         8	       735	       152
        26	         8	       386	       136
        20	        17	       108	       110
         7	        60	       775	        36
         3	        52	       538	        10
        13	         4	       409	       177
        27	        14	       724	        30
        23	        27	       232	        79
         3	        40	       567	        33
        16	        25	        57	       148
        10	         5	       262	        37
         2	        13	        45	       161
         1	         8	       191	        71
        12	        56	       548	        11
         6	        56	        77	         2
        19	        21	       749	        34
        29	         4	       116	        70
        29	        45	       402	        44
        19	        25	       409	        61
         6	         7	       474	        64
        15	        57	       119	       171
        17	        59	       546	        79
        19	        15	       469	        23
         4	        34	       125	        10
         6	        49	       624	        88
        31	         2	       236	       110
        27	        37	       679	       102
        12	        33	       522	       127
        26	         1	       342	        59
        28	        24	       194	       143
         7	        56	       630	        28
        26	        52	       622	         5
         5	        62	       645	       144
         0	        17	       726	       144
        22	        29	       670	        19
        30	         8	       126	       164
         9	        53	       483	       153
        13	        38	       660	        13
        30	        43	       737	        68
        31	        47	       761	        76
        13	        62	       521	       173
        15	        31	       201	       194
        29	        39	       201	        39
        15	         7	       564	       160
        28	        55	       157	       178
        29	        50	       799	        83
        29	         0	       308	        80
        15	        45	       416	       176
        12	         9	        41	       147
         9	        19	       385	        30
        26	        42	       321	        90
        18	        53	       546	        14
        13	        32	        88	       158
        18	        55	       390	       131
        23	        58	       203	       158
         7	        43	       738	        27
        21	        12	        15	        26
        31	        16	       644	       117
        27	        37	       387	       173
        27	        38	       283	       116
         6	        20	       754	        36
        11	        24	         7	        23
        18	        50	       521	       110
        29	        44	        13	         6
        24	        28	       240	        87
        13	        52	       368	       176
        26	        52	        85	        65
        26	        48	       349	       124
         4	        15	       152	       172
         8	        63	        51	       158
        17	        60	       564	        54
         8	         2	       449	        64
        30	        17	       599	        19
         6	        40	       563	       176
        28	         8	       341	       110
        25	        18	       406	       141
         1	        14	       173	        61
        13	        32	       100	        74
        29	        56	       652	       185
        26	        45	       166	       173
        31	        29	       740	        49
         5	        24	       357	        85
         0	        58	        87	         5
        12	        45	       439	       173
        27	        36	       791	       148
         5	        59	       774	        22
        19	        19	       327	       158
         0	        13	       103	        79
        11	        43	       100	       132
         3	        41	       114	       120
         3	        41	       733	        27
        23	        20	        93	        74
        25	        20	       187	        22
        15	        33	       672	        66
        20	         7	       336	        69
        21	        55	        52	       192
         3	        57	       304	       114
         2	         2	       650	       118
        12	         8	       629	        11
        28	        18	       533	       121
         6	        48	       531	        13
        18	        51	        24	        42
        27	        40	       155	       164
         0	        48	       208	        63
         9	         0	       489	        75
         3	        52	       657	       151
        28	         7	       786	       160
        25	         7	       142	        48
        24	         1	       309	        86
        21	        45	       208	         4
        22	        12	       736	        18
        28	        16	       249	        97
        16	        34	       624	        71
        22	         2	       258	       110
         9	        52	       651	        58
        28	        25	       706	        96
        26	        24	       190	        43
         5	        14	       735	        99
        26	        63	       753	        22
        15	        10	       283	        44
        13	        44	       179	        99
        14	        54	        86	        31
        10	         1	       249	       110
        26	        60	       666	        72
        20	        24	         4	        61
         7	         3	       181	        25
         3	         6	       664	        46
        17	        19	       466	        58
        31	        38	       161	       177
        28	        23	       164	        66
        24	        62	       685	        50
        26	         7	       679	        94
         0	        43	       231	        95
        14	        28	       744	        37
         3	        32	       676	        44
        20	        54	       274	        95
        28	        51	       417	       116
        11	         5	       511	       143
         3	        44	       150	        73
        19	        61	       427	       139
